Instrument ID,Model Name/Number,Instrument Type,Brand,Year Manufactured,Material,Price (INR),Condition,Country of Origin,Weight (kg),String Count,Reviews,Electrical or Not,Units Sold
1055,Casio CT-S300,Keyboard,Casio,2022,Plastic,"15,000",New,Japan,4,N/A,4.6/5,Yes,130
1056,Washburn WD7S,Acoustic Guitar,Washburn,2021,Solid Spruce,"28,000",New,USA,2.3,6,4.6/5,No,40
1057,Kanjira,Percussion,Taal Tarang,2021,Wood and Skin,"2,500",New,India,1.2,N/A,4.7/5,No,95
1058,B.C. Rich Warlock,Electric Guitar,B.C. Rich,2022,Mahogany,"75,000",New,USA,3.8,6,4.6/5,Yes,70
1059,Yamaha Revstar RS502T,Electric Guitar,Yamaha,2023,Mahogany,"85,000",New,Japan,3.3,6,4.8/5,Yes,50
1060,Premier Hand Drum,Percussion,Premier,2022,Wood and Skin,"20,000",New,UK,3.2,N/A,4.7/5,No,90
1061,Fender Mustang LT25,Amplifier,Fender,2022,Metal and Wood,"15,000",New,USA,7.5,N/A,4.8/5,Yes,100
1062,Ibanez AW54CE,Acoustic Guitar,Ibanez,2021,Mahogany,"30,000",New,Indonesia,2.5,6,4.7/5,No,80
1063,Korg Minilogue XD,Synthesizer,Korg,2022,Plastic,"65,000",New,Japan,2.8,N/A,4.9/5,Yes,70
1064,Gibson SG Junior,Electric Guitar,Gibson,2021,Mahogany,"1,10,000",New,USA,3.2,6,4.7/5,Yes,150
1065,Yamaha F310,Acoustic Guitar,Yamaha,2021,Spruce,"15,000",New,Indonesia,2.3,6,4.6/5,No,15
1066,Casio PX-160,Digital Piano,Casio,2021,Plastic,"45,000",New,Japan,11.5,N/A,4.8/5,Yes,55
1067,Fender FA-125,Acoustic Guitar,Fender,2022,Spruce,"18,000",New,China,2,6,4.5/5,No,75
1068,Ibanez RG550,Electric Guitar,Ibanez,2023,Basswood,"75,000",New,Indonesia,3.5,6,4.7/5,Yes,90
1069,Native American Flute,Flute,High Spirits,2021,Cedar,"5,000",New,USA,0.2,N/A,4.8/5,No,100
1070,Indian Tabla Set,Tabla,Radha Krishna,2020,Rosewood,"15,000",New,India,8.5,N/A,4.8/5,No,80
1071,Gretsch G2622,Electric Guitar,Gretsch,2022,Maple,"50,000",New,Korea,3.8,6,4.7/5,Yes,250
1072,Cordoba C3M,Classical Guitar,Cordoba,2022,Cedar,"25,000",New,China,1.5,6,4.8/5,No,60
1073,Sitar Pro,Sitar,Radha Krishna,2021,Tun Wood,"30,000",New,India,4.5,7,4.7/5,No,85
1074,Ibanez SR505E,Bass Guitar,Ibanez,2022,Mahogany,"70,000",New,Indonesia,4.5,5,4.7/5,Yes,120
1075,Yamaha PSR-E373,Keyboard,Yamaha,2021,Plastic,"18,000",New,Japan,4,N/A,4.7/5,Yes,100
1076,Chapman ML1 Pro,Electric Guitar,Chapman,2022,Mahogany,"65,000",New,UK,3.5,6,4.6/5,Yes,30
1077,Steinway Model D,Grand Piano,Steinway & Sons,2020,Wood and Metal,"60,00,000",New,Germany,400,N/A,4.9/5,No,15
1078,Fender CD-60S,Acoustic Guitar,Fender,2021,Spruce,"20,000",New,Indonesia,2,6,4.7/5,No,140
1079,Native Instruments,DJ Controller,Native Instruments,2022,Plastic,"35,000",New,Germany,2.5,N/A,4.8/5,Yes,55
1080,Ibanez GRG121DX,Electric Guitar,Ibanez,2022,Poplar,"22,000",New,Indonesia,3.2,6,4.6/5,Yes,180
1081,Yamaha P-125,Digital Piano,Yamaha,2022,Plastic,"50,000",New,Japan,11.8,N/A,4.7/5,Yes,50
1082,Gretsch G2420T,Electric Guitar,Gretsch,2022,Maple,"55,000",New,Korea,4.2,6,4.7/5,Yes,150
1083,Yamaha CG122MS,Classical Guitar,Yamaha,2021,Spruce,"15,000",New,Indonesia,2.1,6,4.7/5,No,50
1084,Schecter Omen-6,Electric Guitar,Schecter,2022,Basswood,"45,000",New,Korea,3.6,6,4.6/5,Yes,60
1085,Fender Player Jazz,Bass Guitar,Fender,2022,Alder,"75,000",New,USA,4.5,4,4.8/5,Yes,75
1086,Ibanez SR500E,Bass Guitar,Ibanez,2021,Mahogany,"60,000",New,Indonesia,4.3,5,4.7/5,Yes,60
1087,Dean ML 79,Electric Guitar,Dean,2022,Mahogany,"50,000",New,USA,3.9,6,4.6/5,Yes,50
1088,Yamaha F370,Acoustic Guitar,Yamaha,2021,Spruce,"14,000",New,Indonesia,2.1,6,4.7/5,No,20
1089,DW Collector’s Series,Drum Set,DW,2022,Maple,"4,50,000",New,USA,35,N/A,4.9/5,Yes,70
1090,PRS SE Mark Holcomb,Electric Guitar,PRS,2022,Maple and Mahogany,"90,000",New,USA,3.5,6,4.8/5,Yes,90
1091,Taylor GS Mini,Acoustic Guitar,Taylor,2021,Mahogany,"50,000",New,Mexico,1.9,6,4.8/5,No,50
1092,Fender Mustang Bass,Bass Guitar,Fender,2022,Alder,"65,000",New,USA,4,4,4.7/5,Yes,65
1093,Yamaha FG800,Acoustic Guitar,Yamaha,2021,Spruce,"18,000",New,Indonesia,2.3,6,4.7/5,No,15
1094,Alhambra 3C,Classical Guitar,Alhambra,2021,Cedar,"40,000",New,Spain,1.8,6,4.8/5,No,45
1095,Ibanez Talman TMB100,Bass Guitar,Ibanez,2022,Poplar,"22,000",New,Indonesia,3.9,4,4.6/5,Yes,22
1096,Squier Affinity Strat,Electric Guitar,Squier,2022,Poplar,"20,000",Used,China,3.5,6,4.5/5,Yes,40
1097,Fender FA-235E,Acoustic Guitar,Fender,2021,Mahogany,"25,000",New,Indonesia,2.2,6,4.6/5,No,75
1098,Ibanez AS73G,Electric Guitar,Ibanez,2022,Linden,"55,000",New,Indonesia,3.8,6,4.7/5,Yes,90
1099,Yamaha PSR-E463,Keyboard,Yamaha,2021,Plastic,"20,000",New,Japan,4.2,N/A,4.7/5,Yes,100
1100,Yamaha TRBX304,Bass Guitar,Yamaha,2021,Mahogany,"40,000",New,Indonesia,4.3,4,4.7/5,Yes,40
1101,Fender American Pro,Electric Guitar,Fender,2022,Alder,"1,80,000",New,USA,3.7,6,4.8/5,Yes,70
1102,Kremona Soloist S65C,Classical Guitar,Kremona,2022,Cedar,"30,000",New,Bulgaria,1.9,6,4.7/5,No,30
1103,Epiphone DR-100,Acoustic Guitar,Epiphone,2021,Spruce,"15,000",New,China,2.2,6,4.6/5,No,15
1104,Kala KA-15S,Ukulele,Kala,2022,Mahogany,"12,000",New,Indonesia,0.6,4,4.7/5,No,20
1105,Fender Acoustasonic,Acoustic Guitar,Fender,2022,Spruce and Maple,"1,75,000",New,USA,2.4,6,4.8/5,Yes,70
1106,Ibanez GRX40,Electric Guitar,Ibanez,2022,Poplar,"15,000",New,Indonesia,3.5,6,4.6/5,Yes,30
1107,Pearl Export EXX,Drum Set,Pearl,2021,Poplar,"85,000",New,Taiwan,27,N/A,4.7/5,Yes,60
1108,Cordoba C5,Classical Guitar,Cordoba,2022,Cedar,"22,000",New,China,1.8,6,4.8/5,No,30
1109,Harmonium Classic,Harmonium,Bina,2021,Wood and Metal,"20,000",New,India,8,N/A,4.7/5,No,20
1110,Jackson JS22 Dinky,Electric Guitar,Jackson,2022,Poplar,"30,000",Used,China,3.4,6,4.5/5,Yes,30
1111,Yamaha C40,Classical Guitar,Yamaha,2021,Spruce,"12,000",New,Indonesia,2,6,4.7/5,No,30
